CVEGEO	cases	CVE_ENT	vax_pc	ENTIDAD	MUN	Population	sum_cases_7_days	pop	vax_rate	cases_last_7_days_per_100k	prev_per_100k	prev	m_test	m_v	risk_inf_no_mitig_small	risk_inf_testing_no_vax_small	risk_inf_fully_vax_no_test_small	risk_inf_fully_vax_and_test_small	risk_inf_no_mitig_med	risk_inf_testing_no_vax_med	risk_inf_fully_vax_no_test_med	risk_inf_fully_vax_and_test_med	risk_inf_no_mitig_big	risk_inf_testing_no_vax_big	risk_inf_fully_vax_no_test_big	risk_inf_fully_vax_and_test_big
01001	256	01	95.8286540399984	01	001	948990	256	948990	0.958286540399984	27	269.7604821968619	0.002697604821968619	0.21399999999999997	0.9550746429919457	2.7	0.6	2.5	0.5	5.3	1.1	5	1.1	7.8	1.7	7.4	1.6
01002	1	01	95.8286540399984	01	002	51536	1	51536	0.958286540399984	2	19.40391182862465	1.940391182862465e-4	0.21399999999999997	0.9550746429919457	0.2	0	0.2	0	0.4	0.1	0.4	0.1	0.6	0.1	0.6	0.1
01003	2	01	95.8286540399984	01	003	58250	2	58250	0.958286540399984	3	34.33476394849786	3.4334763948497857e-4	0.21399999999999997	0.9550746429919457	0.3	0.1	0.3	0.1	0.7	0.1	0.7	0.1	1	0.2	1	0.2
01004	2	01	95.8286540399984	01	004	17000	2	17000	0.958286540399984	12	117.6470588235294	0.001176470588235294	0.21399999999999997	0.9550746429919457	1.2	0.3	1.1	0.2	2.3	0.5	2.2	0.5	3.5	0.8	3.3	0.7
01005	12	01	95.8286540399984	01	005	129929	12	129929	0.958286540399984	9	92.35813405783158	9.235813405783158e-4	0.21399999999999997	0.9550746429919457	0.9	0.2	0.9	0.2	1.8	0.4	1.7	0.4	2.7	0.6	2.6	0.6
01006	3	01	95.8286540399984	01	006	47646	3	47646	0.958286540399984	6	62.9643621710112	6.29643621710112e-4	0.21399999999999997	0.9550746429919457	0.6	0.1	0.6	0.1	1.3	0.3	1.2	0.3	1.9	0.4	1.8	0.4
01007	6	01	95.8286540399984	01	007	57369	6	57369	0.958286540399984	10	104.58610050724259	0.001045861005072426	0.21399999999999997	0.9550746429919457	1	0.2	1	0.2	2.1	0.4	2	0.4	3.1	0.7	3	0.6
01009	1	01	95.8286540399984	01	009	22485	1	22485	0.958286540399984	4	44.474093840338	4.4474093840338e-4	0.21399999999999997	0.9550746429919457	0.4	0.1	0.4	0.1	0.9	0.2	0.8	0.2	1.3	0.3	1.3	0.3
01010	2	01	95.8286540399984	01	010	20853	2	20853	0.958286540399984	10	95.90946146837385	0.00095909461468373855	0.21399999999999997	0.9550746429919457	1	0.2	0.9	0.2	1.9	0.4	1.8	0.4	2.8	0.6	2.7	0.6
01011	2	01	95.8286540399984	01	011	61997	2	61997	0.958286540399984	3	32.25962546574834	3.2259625465748344e-4	0.21399999999999997	0.9550746429919457	0.3	0.1	0.3	0.1	0.6	0.1	0.6	0.1	1	0.2	0.9	0.2
02001	221	02	70.63923778594966	02	001	443807	221	443807	0.7063923778594966	50	497.96420516125255	0.004979642051612525	0.21399999999999997	0.7512643142217749	4.9	1.1	3.7	0.8	9.5	2.1	7.2	1.6	13.9	3.1	10.6	2.4
02002	387	02	70.63923778594966	02	002	1049792	387	1049792	0.7063923778594966	37	368.6444552825702	0.0036864445528257024	0.21399999999999997	0.7512643142217749	3.6	0.8	2.7	0.6	7.1	1.6	5.4	1.2	10.5	2.3	8	1.8
